386	361	523	461	0
944	387	973	474	0
805	386	837	482	0
498	388	756	542	2
30	350	78	478	0
901	393	931	470	0
777	387	815	485	0
228	360	351	493	2
976	377	1008	466	0
161	335	222	374	0
386	361	523	461	0
944	387	973	474	0
805	386	837	482	0
498	388	756	542	2
30	350	78	478	0
901	393	931	470	0
777	387	815	485	0
228	360	351	493	2
976	377	1008	466	0
161	335	222	374	0
386	361	523	461	0
944	387	973	474	0
805	386	837	482	0
498	388	756	542	2
30	350	78	478	0
901	393	931	470	0
777	387	815	485	2
228	360	351	493	0
976	377	1008	466	2
161	335	222	374	0
386	361	523	461	0
944	387	973	474	0
805	386	837	482	0
498	388	756	542	2
30	350	78	478	0
901	393	931	470	0
777	387	815	485	0
228	360	351	493	2
976	377	1008	466	0
161	335	222	374	2
386	361	523	461	0
944	387	973	474	0
805	386	837	482	0
498	388	756	542	2
30	350	78	478	2
901	393	931	470	0
777	387	815	485	0
228	360	351	493	0
976	377	1008	466	0
161	335	222	374	2
386	361	523	461	2
944	387	973	474	0
805	386	837	482	0
498	388	756	542	2
30	350	78	478	2
901	393	931	470	0
777	387	815	485	0
228	360	351	493	0
976	377	1008	466	0
161	335	222	374	2
386	361	523	461	2
944	387	973	474	0
805	386	837	482	0
544	357	1027	715	3
143	341	185	374	5
544	357	1027	715	3
143	341	185	374	5
544	357	1027	715	3
143	341	185	374	5
329	393	398	534	0
432	393	494	525	0
164	338	227	386	2
329	393	398	534	0
432	393	494	525	0
164	338	227	386	2
329	393	398	534	0
432	393	494	525	0
164	338	227	386	2
329	393	398	534	0
432	393	494	525	0
164	338	227	386	2
498	388	756	542	1
30	350	78	478	3
901	393	931	470	4
777	387	815	485	6
228	360	351	493	7
976	377	1008	466	8
161	335	222	374	11
386	361	523	461	12
944	387	973	474	13
805	386	837	482	14
329	393	398	534	2
432	393	494	525	6
164	338	227	386	11
329	393	398	534	2
432	393	494	525	6
164	338	227	386	11
30	350	78	478	2
901	393	931	470	3
777	387	815	485	5
976	377	1008	466	6
944	387	973	474	10
805	386	837	482	11
498	388	756	542	1
30	350	78	478	3
901	393	931	470	4
777	387	815	485	6
228	360	351	493	7
976	377	1008	466	8
161	335	222	374	11
386	361	523	461	12
944	387	973	474	13
805	386	837	482	14
